# data set header
# non-radiated data sets
# energy, error, normalization
1096,  0.05, 1.0

# data set selection
# energy
# data points
#  nu      cross section   stat. error       syst. error
1096.0
 263.0   8.660000E+01   0.000000E+00   0.000000E+00
 264.0   8.830000E+01   0.000000E+00   0.000000E+00
 265.0   8.980000E+01   0.000000E+00   0.000000E+00
 266.0   9.130000E+01   0.000000E+00   0.000000E+00
 267.0   9.290000E+01   0.000000E+00   0.000000E+00
 268.0   9.450000E+01   0.000000E+00   0.000000E+00
 269.0   9.610000E+01   0.000000E+00   0.000000E+00
 270.0   9.770000E+01   0.000000E+00   0.000000E+00
 271.0   9.940000E+01   0.000000E+00   0.000000E+00
 272.0   1.010000E+02   0.000000E+00   0.000000E+00
 273.0   1.027000E+02   0.000000E+00   0.000000E+00
 274.0   1.044000E+02   0.000000E+00   0.000000E+00
 275.0   1.061000E+02   0.000000E+00   0.000000E+00
 276.0   1.078000E+02   0.000000E+00   0.000000E+00
 277.0   1.095000E+02   0.000000E+00   0.000000E+00
 278.0   1.113000E+02   0.000000E+00   0.000000E+00
 279.0   1.131000E+02   0.000000E+00   0.000000E+00
 280.0   1.148000E+02   0.000000E+00   0.000000E+00
 281.0   1.166000E+02   0.000000E+00   0.000000E+00
 282.0   1.184000E+02   0.000000E+00   0.000000E+00
 283.0   1.202000E+02   0.000000E+00   0.000000E+00
 284.0   1.220000E+02   0.000000E+00   0.000000E+00
 285.0   1.238000E+02   0.000000E+00   0.000000E+00
 286.0   1.257000E+02   0.000000E+00   0.000000E+00
 287.0   1.275000E+02   0.000000E+00   0.000000E+00
 288.0   1.292000E+02   0.000000E+00   0.000000E+00
 289.0   1.311000E+02   0.000000E+00   0.000000E+00
 290.0   1.329000E+02   0.000000E+00   0.000000E+00
 291.0   1.347000E+02   0.000000E+00   0.000000E+00
 292.0   1.366000E+02   0.000000E+00   0.000000E+00
 293.0   1.384000E+02   0.000000E+00   0.000000E+00
 294.0   1.402000E+02   0.000000E+00   0.000000E+00
 295.0   1.420000E+02   0.000000E+00   0.000000E+00
 296.0   1.438000E+02   0.000000E+00   0.000000E+00
 297.0   1.456000E+02   0.000000E+00   0.000000E+00
 298.0   1.474000E+02   0.000000E+00   0.000000E+00
 299.0   1.492000E+02   0.000000E+00   0.000000E+00
 300.0   1.509000E+02   0.000000E+00   0.000000E+00
 301.0   1.527000E+02   0.000000E+00   0.000000E+00
 302.0   1.544000E+02   0.000000E+00   0.000000E+00
 303.0   1.561000E+02   0.000000E+00   0.000000E+00
 304.0   1.578000E+02   0.000000E+00   0.000000E+00
 305.0   1.596000E+02   0.000000E+00   0.000000E+00
 306.0   1.612000E+02   0.000000E+00   0.000000E+00
